1,570,1
1,12910,2
1,12912,5
1,12221,2
5,12210,5
5,14533,3
5,14545,8
5,12264,30
1,12622,10
7,7086,20
4,20500,12
4,20502,8
4,20504,8
4,20507,8
4,20509,12
4,20510,12
4,20511,12
4,20512,8
4,20514,24
4,20516,12
4,20727,12
4,20737,12
4,20746,12
4,20761,12
4,20762,12
4,20763,18
4,20764,12
4,20546,12
1,14628,1
7,12786,2
7,12790,10
5,7776,5
1,12246,8
1,12887,7
4,20457,24
4,20487,24
4,20505,8
4,20515,30
4,20517,12
4,20519,24
4,20525,12
4,20526,12
4,20527,12
4,20528,12
4,20530,12
4,20543,12
4,20570,12
4,20572,12
4,20574,8
4,20576,15
4,20577,12
4,20578,12
4,20579,12
4,20582,12
4,20587,24
4,20588,18
4,20826,12
4,20842,8
4,20940,15
4,20955,8
4,31056,30
4,31091,50
4,29999,12
4,20513,8
4,20521,12
4,20518,15
4,29998,18
4,20571,24
4,20575,8
4,29997,24
4,29996,12
4,20594,12
4,20586,30
4,20589,18
4,20590,30
4,29995,12
4,20592,12
4,20593,24
4,20597,30
4,20596,12
4,19381,15
0,19985,30
0,31437,300
0,20234,15
0,31186,300
0,20404,30
0,20285,40
0,20101,30
0,20232,15
0,20319,30
0,20036,40
0,20089,50
0,20086,50
0,20088,50
0,20087,50
0,20154,30
0,20349,15
0,31614,300
0,20270,40
0,20300,15
0,31549,30
0,20099,50
0,20430,30
0,31693,20
0,20380,15
0,20209,30
0,20081,15
0,19871,30
0,20083,15
0,31512,300
0,20379,15
0,31027,15
0,31172,15
0,20085,15
0,20381,15
0,31455,15
0,19661,15
0,20132,1000
0,31300,20
0,20448,100
0,31452,300
0,19823,15
0,31600,300
0,31299,300
0,20135,15
0,31454,30
0,31616,50
0,31719,100
0,31731,30
0,31798,300
0,31803,100
